"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2","TITLE_SPEC.TABLE_SUB_CATEGORY3"
"0001784568","特用林産物生産統計調査 確報 平成30年特用林産基礎資料","年次","201801-201812","2019-12-27","0","該当なし","335","2025-04-08","","00501004","特用林産物生産統計調査","00501","林野庁","33","品目別資料 しいたけ原木の調達ルート 伏込原木の調達ルート別内訳","04","農林水産業","03","林業","特用林産物生産統計調査","確報","平成30年特用林産基礎資料","品目別資料","しいたけ原木の調達ルート","","伏込原木の調達ルート別内訳","",""
"0001784569","特用林産物生産統計調査 確報 平成30年特用林産基礎資料","年次","201801-201812","2019-12-27","0","該当なし","240","2025-04-08","","00501004","特用林産物生産統計調査","00501","林野庁","33","品目別資料 しいたけ原木の調達ルート 伏込原木の自県内外調達内訳","04","農林水産業","03","林業","特用林産物生産統計調査","確報","平成30年特用林産基礎資料","品目別資料","しいたけ原木の調達ルート","","伏込原木の自県内外調達内訳","",""
"0001784570","特用林産物生産統計調査 確報 平成30年特用林産基礎資料","年次","201801-201812","2019-12-27","0","該当なし","423","2025-04-08","","00501004","特用林産物生産統計調査","00501","林野庁","33","品目別資料 しいたけ原木の調達ルート 他県等からの調達内訳","04","農林水産業","03","林業","特用林産物生産統計調査","確報","平成30年特用林産基礎資料","品目別資料","しいたけ原木の調達ルート","","他県等からの調達内訳","",""
"0001784571","特用林産物生産統計調査 確報 平成30年特用林産基礎資料","年次","201801-201812","2019-12-27","0","該当なし","336","2025-04-08","","00501004","特用林産物生産統計調査","00501","林野庁","34","品目別資料 菌床製造用おが粉の調達ルート 菌床製造用おが粉の調達ルート別内訳","04","農林水産業","03","林業","特用林産物生産統計調査","確報","平成30年特用林産基礎資料","品目別資料","菌床製造用おが粉の調達ルート","","菌床製造用おが粉の調達ルート別内訳","",""
"0001784572","特用林産物生産統計調査 確報 平成30年特用林産基礎資料","年次","201801-201812","2019-12-27","0","該当なし","240","2025-04-08","","00501004","特用林産物生産統計調査","00501","林野庁","34","品目別資料 菌床製造用おが粉の調達ルート 菌床製造用おが粉の自県内外調達内訳","04","農林水産業","03","林業","特用林産物生産統計調査","確報","平成30年特用林産基礎資料","品目別資料","菌床製造用おが粉の調達ルート","","菌床製造用おが粉の自県内外調達内訳","",""
"0001784573","特用林産物生産統計調査 確報 平成30年特用林産基礎資料","年次","201801-201812","2019-12-27","0","該当なし","423","2025-04-08","","00501004","特用林産物生産統計調査","00501","林野庁","34","品目別資料 菌床製造用おが粉の調達ルート 他県等からの調達内訳","04","農林水産業","03","林業","特用林産物生産統計調査","確報","平成30年特用林産基礎資料","品目別資料","菌床製造用おが粉の調達ルート","","他県等からの調達内訳","",""
"0001784574","特用林産物生産統計調査 確報 平成30年特用林産基礎資料","年次","201801-201812","2019-12-27","0","該当なし","144","2025-04-08","","00501004","特用林産物生産統計調査","00501","林野庁","35","品目別資料 しいたけ菌床の調達内訳","04","農林水産業","03","林業","特用林産物生産統計調査","確報","平成30年特用林産基礎資料","品目別資料","しいたけ菌床の調達内訳","","","",""
"0001784490","特用林産物生産統計調査 確報 平成30年特用林産基礎資料","年次","201801-201812","2019-12-27","0","該当なし","48","2025-04-08","","00501004","特用林産物生産統計調査","00501","林野庁","4","概要 輸出統計 乾しいたけ（0712.39-100）","04","農林水産業","03","林業","特用林産物生産統計調査","確報","平成30年特用林産基礎資料","概要","輸出統計","","乾しいたけ（0712.39-100）","",""
"0001784491","特用林産物生産統計調査 確報 平成30年特用林産基礎資料","年次","201801-201812","2019-12-27","0","該当なし","48","2025-04-08","","00501004","特用林産物生産統計調査","00501","林野庁","4","概要 輸出統計 きのこ（調製したもの）（2003.90-000）","04","農林水産業","03","林業","特用林産物生産統計調査","確報","平成30年特用林産基礎資料","概要","輸出統計","","きのこ（調製したもの）（2003.90-000）","",""
"0001784493","特用林産物生産統計調査 確報 平成30年特用林産基礎資料","年次","201801-201812","2019-12-27","0","該当なし","56","2025-04-08","","00501004","特用林産物生産統計調査","00501","林野庁","4","概要 輸出統計 竹材（1401.10-000）","04","農林水産業","03","林業","特用林産物生産統計調査","確報","平成30年特用林産基礎資料","概要","輸出統計","","竹材（1401.10-000）","",""
