"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_EXPLANATION","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_SUB_CATEGORY2"
"0001883950","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 三重(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","三重(昭和35年～令和２年)","","",""
"0001883951","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 滋賀(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","滋賀(昭和35年～令和２年)","","",""
"0001883952","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 京都(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","京都(昭和35年～令和２年)","","",""
"0001883953","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 大阪(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","大阪(昭和35年～令和２年)","","",""
"0001883954","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 兵庫(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","兵庫(昭和35年～令和２年)","","",""
"0001883955","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 奈良(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","奈良(昭和35年～令和２年)","","",""
"0001883956","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 和歌山(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","和歌山(昭和35年～令和２年)","","",""
"0001883957","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 鳥取(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","鳥取(昭和35年～令和２年)","","",""
"0001883958","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 島根(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","島根(昭和35年～令和２年)","","",""
"0001883959","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 岡山(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","岡山(昭和35年～令和２年)","","",""
"0001883960","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 広島(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","広島(昭和35年～令和２年)","","",""
"0001883961","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 山口(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","山口(昭和35年～令和２年)","","",""
"0001883962","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 徳島(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","徳島(昭和35年～令和２年)","","",""
"0001884587","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 香川(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","香川(昭和35年～令和２年)","","",""
"0001884588","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 愛媛(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","愛媛(昭和35年～令和２年)","","",""
"0001884589","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 高知(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","高知(昭和35年～令和２年)","","",""
"0001884590","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 福岡(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","福岡(昭和35年～令和２年)","","",""
"0001884591","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 佐賀(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","佐賀(昭和35年～令和２年)","","",""
"0001884592","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 長崎(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","長崎(昭和35年～令和２年)","","",""
"0001884593","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 熊本(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","熊本(昭和35年～令和２年)","","",""
"0001884594","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 大分(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","大分(昭和35年～令和２年)","","",""
"0001884595","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 宮崎(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","宮崎(昭和35年～令和２年)","","",""
"0001884596","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 鹿児島(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","鹿児島(昭和35年～令和２年)","","",""
"0001884597","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","369","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 札幌(昭和35年～平成14年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","札幌(昭和35年～平成14年)","","",""
"0001884598","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","369","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 函館(昭和35年～平成14年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","函館(昭和35年～平成14年)","","",""
"0001884599","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","369","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 帯広(昭和35年～平成14年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","帯広(昭和35年～平成14年)","","",""
"0001884600","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","369","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 北見(昭和35年～平成14年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","北見(昭和35年～平成14年)","","",""
