"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION"
"0003280090","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 ９　農林水産物（２０１５年輸入金額上位２０品目）の国・地域別輸入概況及び平均輸入価格　豚肉","年次","201501-201512","2019-02-06","0","該当なし","27","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","９　農林水産物（２０１５年輸入金額上位２０品目）の国・地域別輸入概況及び平均輸入価格　豚肉",""
"0003280091","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 ９　農林水産物（２０１５年輸入金額上位２０品目）の国・地域別輸入概況及び平均輸入価格　たばこ","年次","201501-201512","2019-02-06","0","該当なし","27","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","９　農林水産物（２０１５年輸入金額上位２０品目）の国・地域別輸入概況及び平均輸入価格　たばこ",""
"0003280092","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 ９　農林水産物（２０１５年輸入金額上位２０品目）の国・地域別輸入概況及び平均輸入価格　とうもろこし","年次","201501-201512","2019-02-06","0","該当なし","27","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","９　農林水産物（２０１５年輸入金額上位２０品目）の国・地域別輸入概況及び平均輸入価格　とうもろこし",""
"0003280093","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 ９　農林水産物（２０１５年輸入金額上位２０品目）の国・地域別輸入概況及び平均輸入価格　牛肉","年次","201501-201512","2019-02-06","0","該当なし","27","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","９　農林水産物（２０１５年輸入金額上位２０品目）の国・地域別輸入概況及び平均輸入価格　牛肉",""
"0003280094","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 ９　農林水産物（２０１５年輸入金額上位２０品目）の国・地域別輸入概況及び平均輸入価格　生鮮・乾燥果実","年次","201501-201512","2019-02-06","0","該当なし","27","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","９　農林水産物（２０１５年輸入金額上位２０品目）の国・地域別輸入概況及び平均輸入価格　生鮮・乾燥果実",""
"0003280095","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 ９　農林水産物（２０１５年輸入金額上位２０品目）の国・地域別輸入概況及び平均輸入価格　アルコール飲料","年次","201501-201512","2019-02-06","0","該当なし","27","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","９　農林水産物（２０１５年輸入金額上位２０品目）の国・地域別輸入概況及び平均輸入価格　アルコール飲料",""
"0003280096","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 ９　農林水産物（２０１５年輸入金額上位２０品目）の国・地域別輸入概況及び平均輸入価格　木材チップ","年次","201501-201512","2019-02-06","0","該当なし","27","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","９　農林水産物（２０１５年輸入金額上位２０品目）の国・地域別輸入概況及び平均輸入価格　木材チップ",""
"0003280097","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 ９　農林水産物（２０１５年輸入金額上位２０品目）の国・地域別輸入概況及び平均輸入価格　製材","年次","201501-201512","2019-02-06","0","該当なし","27","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","９　農林水産物（２０１５年輸入金額上位２０品目）の国・地域別輸入概況及び平均輸入価格　製材",""
"0003280098","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 ９　農林水産物（２０１５年輸入金額上位２０品目）の国・地域別輸入概況及び平均輸入価格　鶏肉調製品","年次","201501-201512","2019-02-06","0","該当なし","27","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","９　農林水産物（２０１５年輸入金額上位２０品目）の国・地域別輸入概況及び平均輸入価格　鶏肉調製品",""
"0003280099","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 ９　農林水産物（２０１５年輸入金額上位２０品目）の国・地域別輸入概況及び平均輸入価格　えび","年次","201501-201512","2019-02-06","0","該当なし","27","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","９　農林水産物（２０１５年輸入金額上位２０品目）の国・地域別輸入概況及び平均輸入価格　えび",""
