"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_NAME"
"0003421737","個人企業経済調査 個人企業経済調査（2019年（令和元年）以降）","年次","202306","2024-03-01","0","全国","1680","2024-03-01","","00200541","個人企業経済調査","00200","総務省","3103","産業大分類，営業用土地・建物の所有形態, 今後の事業展開別企業分布　－全国","07","企業・家計・経済","01","企業活動","個人企業経済調査","個人企業経済調査（2019年（令和元年）以降）","","産業大分類，営業用土地・建物の所有形態, 今後の事業展開別企業分布　－全国"
"0003421738","個人企業経済調査 個人企業経済調査（2019年（令和元年）以降）","年次","202306","2024-03-01","0","全国","1008","2024-03-01","","00200541","個人企業経済調査","00200","総務省","3104","産業大分類，営業用建物と自宅用建物，今後の事業展開別企業分布　－全国","07","企業・家計・経済","01","企業活動","個人企業経済調査","個人企業経済調査（2019年（令和元年）以降）","","産業大分類，営業用建物と自宅用建物，今後の事業展開別企業分布　－全国"
"0003421755","個人企業経済調査 個人企業経済調査（2019年（令和元年）以降）","年次","202306","2024-03-01","0","全国","8400","2024-03-01","","00200541","個人企業経済調査","00200","総務省","3105","産業大分類，事業経営上の問題点，今後の事業展開別企業分布　－全国","07","企業・家計・経済","01","企業活動","個人企業経済調査","個人企業経済調査（2019年（令和元年）以降）","","産業大分類，事業経営上の問題点，今後の事業展開別企業分布　－全国"
"0003421739","個人企業経済調査 個人企業経済調査（2019年（令和元年）以降）","年次","202306","2024-03-01","0","全国","1344","2024-03-01","","00200541","個人企業経済調査","00200","総務省","3106","産業大分類，法人化の予定，今後の事業展開別企業分布　－全国","07","企業・家計・経済","01","企業活動","個人企業経済調査","個人企業経済調査（2019年（令和元年）以降）","","産業大分類，法人化の予定，今後の事業展開別企業分布　－全国"
"0003421740","個人企業経済調査 個人企業経済調査（2019年（令和元年）以降）","年次","202306","2024-03-01","0","全国","2352","2024-03-01","","00200541","個人企業経済調査","00200","総務省","3201","産業大分類，１年間の営業（操業）日数，今後の事業展開別企業分布　－全国","07","企業・家計・経済","01","企業活動","個人企業経済調査","個人企業経済調査（2019年（令和元年）以降）","","産業大分類，１年間の営業（操業）日数，今後の事業展開別企業分布　－全国"
"0003421756","個人企業経済調査 個人企業経済調査（2019年（令和元年）以降）","年次","202306","2024-03-01","0","全国","336","2024-03-01","","00200541","個人企業経済調査","00200","総務省","3202","産業大分類，今後の事業展開別１日の平均営業（操業）時間　－全国","07","企業・家計・経済","01","企業活動","個人企業経済調査","個人企業経済調査（2019年（令和元年）以降）","","産業大分類，今後の事業展開別１日の平均営業（操業）時間　－全国"
"0003421741","個人企業経済調査 個人企業経済調査（2019年（令和元年）以降）","年次","202306","2024-03-01","0","全国","448","2024-03-01","","00200541","個人企業経済調査","00200","総務省","3301","産業大分類，チェーン組織への加盟の有無，法人化の予定別企業分布　－全国","07","企業・家計・経済","01","企業活動","個人企業経済調査","個人企業経済調査（2019年（令和元年）以降）","","産業大分類，チェーン組織への加盟の有無，法人化の予定別企業分布　－全国"
"0003421742","個人企業経済調査 個人企業経済調査（2019年（令和元年）以降）","年次","202306","2024-03-01","0","全国","784","2024-03-01","","00200541","個人企業経済調査","00200","総務省","3302","産業大分類，パーソナルコンピュータの使用の有無，法人化の予定別企業分布　－全国","07","企業・家計・経済","01","企業活動","個人企業経済調査","個人企業経済調査（2019年（令和元年）以降）","","産業大分類，パーソナルコンピュータの使用の有無，法人化の予定別企業分布　－全国"
"0003421757","個人企業経済調査 個人企業経済調査（2019年（令和元年）以降）","年次","202306","2024-03-01","0","全国","560","2024-03-01","","00200541","個人企業経済調査","00200","総務省","3303","産業大分類，営業用土地・建物の所有形態, 法人化の予定別企業分布　－全国","07","企業・家計・経済","01","企業活動","個人企業経済調査","個人企業経済調査（2019年（令和元年）以降）","","産業大分類，営業用土地・建物の所有形態, 法人化の予定別企業分布　－全国"
"0003421743","個人企業経済調査 個人企業経済調査（2019年（令和元年）以降）","年次","202306","2024-03-01","0","全国","336","2024-03-01","","00200541","個人企業経済調査","00200","総務省","3304","産業大分類，営業用建物と自宅用建物，法人化の予定別企業分布　－全国","07","企業・家計・経済","01","企業活動","個人企業経済調査","個人企業経済調査（2019年（令和元年）以降）","","産業大分類，営業用建物と自宅用建物，法人化の予定別企業分布　－全国"
"0003421744","個人企業経済調査 個人企業経済調査（2019年（令和元年）以降）","年次","202306","2024-03-01","0","全国","7840","2024-03-01","","00200541","個人企業経済調査","00200","総務省","3401","産業中分類，事業所の開設時期，事業主の年齢階級別企業分布　－全国","07","企業・家計・経済","01","企業活動","個人企業経済調査","個人企業経済調査（2019年（令和元年）以降）","","産業中分類，事業所の開設時期，事業主の年齢階級別企業分布　－全国"
"0003421758","個人企業経済調査 個人企業経済調査（2019年（令和元年）以降）","年次","202306","2024-03-01","0","全国","8736","2024-03-01","","00200541","個人企業経済調査","00200","総務省","3501","産業大分類，事業経営上の問題点，事業主の年齢階級, 営業用建物と自宅用建物別企業分布　－全国","07","企業・家計・経済","01","企業活動","個人企業経済調査","個人企業経済調査（2019年（令和元年）以降）","","産業大分類，事業経営上の問題点，事業主の年齢階級, 営業用建物と自宅用建物別企業分布　－全国"
