"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY2","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY3","TITLE.@no","TITLE.$","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3"
"0003033749","経済産業省生産動態統計 鉄鋼・非鉄金属・金属製品統計 確報（１）主要製品統計表(時系列表)","金属製品 1、金属製品 9、非鉄金属鋳物 金属製品編","-","201001","2011-03-31","0","該当なし","104","2025-04-14","","00550200","経済産業省生産動態統計調査","00550","経済産業省","05","鉱工業","02","製造業","経済産業省生産動態統計","鉄鋼・非鉄金属・金属製品統計","確報（１）主要製品統計表(時系列表)","金属製品","1、金属製品","金属製品編","9、非鉄金属鋳物","","","",""
"0003033750","経済産業省生産動態統計 鉄鋼・非鉄金属・金属製品統計 確報（１）主要製品統計表(時系列表)","金属製品 1、金属製品 10、ダイカスト 金属製品編","-","201001","2011-03-31","0","該当なし","156","2025-04-14","","00550200","経済産業省生産動態統計調査","00550","経済産業省","05","鉱工業","02","製造業","経済産業省生産動態統計","鉄鋼・非鉄金属・金属製品統計","確報（１）主要製品統計表(時系列表)","金属製品","1、金属製品","金属製品編","10、ダイカスト","","","",""
"0003033768","経済産業省生産動態統計 鉄鋼・非鉄金属・金属製品統計 確報（１）主要製品統計表(時系列表)","非鉄金属 1、非鉄金属 4、光ファイバ製品 非鉄金属編","-","201001","2011-03-31","0","該当なし","156","2025-04-14","","00550200","経済産業省生産動態統計調査","00550","経済産業省","05","鉱工業","02","製造業","経済産業省生産動態統計","鉄鋼・非鉄金属・金属製品統計","確報（１）主要製品統計表(時系列表)","非鉄金属","1、非鉄金属","非鉄金属編","4、光ファイバ製品","","","",""
"0003034057","経済産業省生産動態統計 鉄鋼・非鉄金属・金属製品統計 確報（１）主要製品統計表(時系列表)","非鉄金属 1、非鉄金属 1、非鉄金属 非鉄金属編","-","201001","2011-03-31","0","該当なし","390","2025-04-14","","00550200","経済産業省生産動態統計調査","00550","経済産業省","05","鉱工業","02","製造業","経済産業省生産動態統計","鉄鋼・非鉄金属・金属製品統計","確報（１）主要製品統計表(時系列表)","非鉄金属","1、非鉄金属","非鉄金属編","1、非鉄金属","","","",""
"0003034058","経済産業省生産動態統計 鉄鋼・非鉄金属・金属製品統計 確報（１）主要製品統計表(時系列表)","非鉄金属 1、非鉄金属 2、アルミニウム 非鉄金属編","-","201001","2011-03-31","0","該当なし","234","2025-04-14","","00550200","経済産業省生産動態統計調査","00550","経済産業省","05","鉱工業","02","製造業","経済産業省生産動態統計","鉄鋼・非鉄金属・金属製品統計","確報（１）主要製品統計表(時系列表)","非鉄金属","1、非鉄金属","非鉄金属編","2、アルミニウム","","","",""
"0003034059","経済産業省生産動態統計 鉄鋼・非鉄金属・金属製品統計 確報（１）主要製品統計表(時系列表)","非鉄金属 1、非鉄金属 5、軽金属板製品 非鉄金属編","-","201001","2011-03-31","0","該当なし","234","2025-04-14","","00550200","経済産業省生産動態統計調査","00550","経済産業省","05","鉱工業","02","製造業","経済産業省生産動態統計","鉄鋼・非鉄金属・金属製品統計","確報（１）主要製品統計表(時系列表)","非鉄金属","1、非鉄金属","非鉄金属編","5、軽金属板製品","","","",""
"0003034689","経済産業省生産動態統計 鉄鋼・非鉄金属・金属製品統計 確報（１）主要製品統計表(時系列表)","鉄鋼 (1)銑鉄（生産・消費・販売・在庫） 鉄鋼編１","-","201002","2011-03-31","0","該当なし","364","2025-04-14","","00550200","経済産業省生産動態統計調査","00550","経済産業省","05","鉱工業","02","製造業","経済産業省生産動態統計","鉄鋼・非鉄金属・金属製品統計","確報（１）主要製品統計表(時系列表)","鉄鋼","(1)銑鉄（生産・消費・販売・在庫）","鉄鋼編１","","","","",""
"0003034690","経済産業省生産動態統計 鉄鋼・非鉄金属・金属製品統計 確報（１）主要製品統計表(時系列表)","鉄鋼 (2)フェロアロイ（生産） 鉄鋼編１","-","201002","2011-03-31","0","該当なし","364","2025-04-14","","00550200","経済産業省生産動態統計調査","00550","経済産業省","05","鉱工業","02","製造業","経済産業省生産動態統計","鉄鋼・非鉄金属・金属製品統計","確報（１）主要製品統計表(時系列表)","鉄鋼","(2)フェロアロイ（生産）","鉄鋼編１","","","","",""
"0003034692","経済産業省生産動態統計 鉄鋼・非鉄金属・金属製品統計 確報（１）主要製品統計表(時系列表)","鉄鋼 (14-1)最終鋼材 総表（生産） 鉄鋼編３","-","201002","2011-03-31","0","該当なし","1400","2025-04-14","","00550200","経済産業省生産動態統計調査","00550","経済産業省","05","鉱工業","02","製造業","経済産業省生産動態統計","鉄鋼・非鉄金属・金属製品統計","確報（１）主要製品統計表(時系列表)","鉄鋼","(14-1)最終鋼材","鉄鋼編３","総表（生産）","","","",""
"0003034693","経済産業省生産動態統計 鉄鋼・非鉄金属・金属製品統計 確報（１）主要製品統計表(時系列表)","鉄鋼 (3)粗鋼 （生産・消費・在庫） 2、鋼塊の転炉、電気炉別生産 鉄鋼編１","-","201002","2011-03-31","0","該当なし","468","2025-04-14","","00550200","経済産業省生産動態統計調査","00550","経済産業省","05","鉱工業","02","製造業","経済産業省生産動態統計","鉄鋼・非鉄金属・金属製品統計","確報（１）主要製品統計表(時系列表)","鉄鋼","(3)粗鋼 （生産・消費・在庫）","鉄鋼編１","2、鋼塊の転炉、電気炉別生産","","","",""
"0003034694","経済産業省生産動態統計 鉄鋼・非鉄金属・金属製品統計 確報（１）主要製品統計表(時系列表)","鉄鋼 (3)粗鋼 （生産・消費・在庫） 3、粗鋼消費 鉄鋼編１","-","201002","2011-03-31","0","該当なし","182","2025-04-14","","00550200","経済産業省生産動態統計調査","00550","経済産業省","05","鉱工業","02","製造業","経済産業省生産動態統計","鉄鋼・非鉄金属・金属製品統計","確報（１）主要製品統計表(時系列表)","鉄鋼","(3)粗鋼 （生産・消費・在庫）","鉄鋼編１","3、粗鋼消費","","","",""
