"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_CATEGORY"
"0000130674","科学技術研究調査 1999年（平成11年）科学技術研究調査","-","199903","2019-07-01","0","該当なし","288","2024-12-13","","00200543","科学技術研究調査","00200","総務省","02101","研究機関、学問（１２）、受入研究費，外部支出研究費（２４）","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1999年（平成11年）科学技術研究調査","研究機関、学問（１２）、受入研究費，外部支出研究費（２４）",""
"0000130675","科学技術研究調査 1999年（平成11年）科学技術研究調査","-","199903","2019-07-01","0","該当なし","768","2024-12-13","","00200543","科学技術研究調査","00200","総務省","02102","研究機関、組織（４）、学問（８）、受入研究費，外部支出研究費（２４）","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1999年（平成11年）科学技術研究調査","研究機関、組織（４）、学問（８）、受入研究費，外部支出研究費（２４）",""
"0000130676","科学技術研究調査 1999年（平成11年）科学技術研究調査","-","199903","2019-07-01","0","該当なし","360","2024-12-13","","00200543","科学技術研究調査","00200","総務省","02103","研究機関、研究本務者規模（３）、組織（５）、受入研究費，外部支出研究費（２４）","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1999年（平成11年）科学技術研究調査","研究機関、研究本務者規模（３）、組織（５）、受入研究費，外部支出研究費（２４）",""
"0000130677","科学技術研究調査 1999年（平成11年）科学技術研究調査","-","199903","2019-07-01","0","該当なし","960","2024-12-13","","00200543","科学技術研究調査","00200","総務省","022","公営の研究機関、都道府県（４８）、研究関係従事者数，内部使用研究費，受入研究費，外部支出研究費（２０）","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1999年（平成11年）科学技術研究調査","公営の研究機関、都道府県（４８）、研究関係従事者数，内部使用研究費，受入研究費，外部支出研究費（２０）",""
"0000130678","科学技術研究調査 1999年（平成11年）科学技術研究調査","-","199903","2019-07-01","0","該当なし","620","2024-12-13","","00200543","科学技術研究調査","00200","総務省","02301","大学等、組織（４）、種類（５）、研究関係従事者数・内部使用研究費・受入研究費・外部支出研究費（３１）","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1999年（平成11年）科学技術研究調査","大学等、組織（４）、種類（５）、研究関係従事者数・内部使用研究費・受入研究費・外部支出研究費（３１）",""
"0000130679","科学技術研究調査 1999年（平成11年）科学技術研究調査","-","199903","2019-07-01","0","該当なし","434","2024-12-13","","00200543","科学技術研究調査","00200","総務省","02302","大学等、学問（１４）、研究関係従事者数・内部使用研究費・受入研究費・外部支出研究費（３１）","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1999年（平成11年）科学技術研究調査","大学等、学問（１４）、研究関係従事者数・内部使用研究費・受入研究費・外部支出研究費（３１）",""
"0000130680","科学技術研究調査 1999年（平成11年）科学技術研究調査","-","199903","2019-07-01","0","該当なし","651","2024-12-13","","00200543","科学技術研究調査","00200","総務省","02303","大学等、組織（３）、学問（７）、研究関係従事者数・内部使用研究費・受入研究費・外部支出研究費（３１）","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1999年（平成11年）科学技術研究調査","大学等、組織（３）、学問（７）、研究関係従事者数・内部使用研究費・受入研究費・外部支出研究費（３１）",""
"0000130681","科学技術研究調査 1999年（平成11年）科学技術研究調査","-","199903","2019-07-01","0","該当なし","600","2024-12-13","","00200543","科学技術研究調査","00200","総務省","02401","大学等、組織（４）、種類（５）、専門別（３０）、研究本務者数","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1999年（平成11年）科学技術研究調査","大学等、組織（４）、種類（５）、専門別（３０）、研究本務者数",""
"0000130682","科学技術研究調査 1999年（平成11年）科学技術研究調査","-","199903","2019-07-01","0","該当なし","420","2024-12-13","","00200543","科学技術研究調査","00200","総務省","02402","大学等、学問（１４）、専門別（３０）、研究本務者数","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1999年（平成11年）科学技術研究調査","大学等、学問（１４）、専門別（３０）、研究本務者数",""
"0000130683","科学技術研究調査 1999年（平成11年）科学技術研究調査","-","199903","2019-07-01","0","該当なし","630","2024-12-13","","00200543","科学技術研究調査","00200","総務省","02403","大学等、組織（３）、学問（７）、専門別（３０）、研究本務者数","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1999年（平成11年）科学技術研究調査","大学等、組織（３）、学問（７）、専門別（３０）、研究本務者数",""
