"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1"
"0003031852","経済産業省特定業種石油等消費統計 確報","月次","201001","2011-03-31","0","該当なし","480","2011-05-31","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-18","確報 窯業土石　指定生産品目別統計 2010年1月","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","窯業土石　指定生産品目別統計","2010年1月"
"0003064657","経済産業省特定業種石油等消費統計 確報","月次","201101","2012-03-31","0","該当なし","560","2013-04-11","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-18","確報 窯業土石　指定生産品目別統計 2011年1月","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","窯業土石　指定生産品目別統計","2011年1月"
"0003014218","経済産業省特定業種石油等消費統計 確報","月次","200901","2010-03-22","0","該当なし","896","2010-03-22","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-19","確報 指定生産品目別統計　鉄鋼 年計","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","指定生産品目別統計　鉄鋼","年計"
"0003031853","経済産業省特定業種石油等消費統計 確報","月次","201001","2011-03-31","0","該当なし","896","2011-05-31","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-19","確報 鉄鋼　指定生産品目別統計　 2010年1月","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","鉄鋼　指定生産品目別統計　","2010年1月"
"0003064658","経済産業省特定業種石油等消費統計 確報","月次","201101","2012-03-31","0","該当なし","1024","2013-12-11","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-19","確報 鉄鋼　指定生産品目別統計　 2011年1月","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","鉄鋼　指定生産品目別統計　","2011年1月"
"0003014219","経済産業省特定業種石油等消費統計 確報","月次","200901","2010-03-22","0","該当なし","720","2010-03-22","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-20","確報 指定生産品目別統計　非鉄 年計","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","指定生産品目別統計　非鉄","年計"
"0003031854","経済産業省特定業種石油等消費統計 確報","月次","201001","2011-03-31","0","該当なし","720","2011-05-31","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-20","確報 非鉄　指定生産品目別統計 2010年1月","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","非鉄　指定生産品目別統計","2010年1月"
"0003064659","経済産業省特定業種石油等消費統計 確報","月次","201101","2012-03-31","0","該当なし","840","2013-12-11","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-20","確報 非鉄　指定生産品目別統計 2011年1月","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","非鉄　指定生産品目別統計","2011年1月"
"0003014220","経済産業省特定業種石油等消費統計 確報","月次","200901","2010-03-22","0","該当なし","432","2010-03-22","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-21","確報 指定生産品目別統計　機械 年計","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","指定生産品目別統計　機械","年計"
"0003031855","経済産業省特定業種石油等消費統計 確報","月次","201001","2011-03-31","0","該当なし","432","2011-05-31","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-21","確報 機械　指定生産品目別統計 2010年1月","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","機械　指定生産品目別統計","2010年1月"
"0003064660","経済産業省特定業種石油等消費統計 確報","月次","201101","2012-03-31","0","該当なし","504","2013-04-11","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-21","確報 機械　指定生産品目別統計 2011年1月","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","機械　指定生産品目別統計","2011年1月"
"0003014221","経済産業省特定業種石油等消費統計 確報","月次","200901","2010-03-22","0","該当なし","132","2010-03-22","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-22","確報 指定生産品目別統計　在庫表 年計","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","指定生産品目別統計　在庫表","年計"
"0003031856","経済産業省特定業種石油等消費統計 確報","月次","201001","2011-03-31","0","該当なし","132","2011-05-31","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-22","確報 在庫表　指定生産品目別統計 2010年1月","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","在庫表　指定生産品目別統計","2010年1月"
"0003064661","経済産業省特定業種石油等消費統計 確報","月次","201101","2012-03-31","0","該当なし","132","2013-04-11","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-22","確報 在庫表　指定生産品目別統計 2011年1月","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","在庫表　指定生産品目別統計","2011年1月"
